city,crime_name,2010,2011,2012,2013,2014,avg,Latitude,Longitude
Allahabad,Riots,4,3.7,3.2,3.6,1.9,3.3,25.44,81.83
,,,,,,,,,
Allahabad,Riots others,,,,,1.7,1.7,25.44,81.83
,,,,,,,,,
Allahabad,Robbery,2.1,4.4,1.8,2.2,6.8,3.5,25.44,81.83
,,,,,,,,,
Allahabad,SCs-STs vs Non-SCs-STs riots,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Sectarian riots,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Sedition,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Sexual harassment,,,,,8.9,8.9,25.44,81.83
,,,,,,,,,
Allahabad,Sexual harassment and molestation of women,1.6,2.1,3,16.4,17.3,8.1,25.44,81.83
,,,,,,,,,
Allahabad,Stalking,,,,,7.1,7.1,25.44,81.83
,,,,,,,,,
Allahabad,Student riots,,,,,0.2,0.2,25.44,81.83
,,,,,,,,,
Allahabad,Theft,58.5,84.4,75.1,101.5,135.3,91,25.44,81.83
,,,,,,,,,
Allahabad,Total cognizable crimes under IPC,187.9,222,229.1,320,385.7,268.9,25.44,81.83
,,,,,,,,,
Allahabad,Unlawful assembly,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Unnatural offences,,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Use of criminal force with intent to disrobe women,,,,,0.7,0.7,25.44,81.83
,,,,,,,,,
Allahabad,"Using as genuine, forged or counterfeiting currency or bank notes",,,,,0,0,25.44,81.83
,,,,,,,,,
Allahabad,Voyeurism,,,,,0.4,0.4,25.44,81.83
,,,,,,,,,
Amritsar,Acid attack,,,,,0.1,0.1,31.63,74.87
,,,,,,,,,
Amritsar,Agrarian riots,,,,,0,0,31.63,74.87
,,,,,,,,,
Amritsar,Arson,0.4,0.3,0.5,0.3,0.2,0.3,31.63,74.87
,,,,,,,,,
Amritsar,Assault on women with intent to outrage her modesty,1.8,1.3,2.5,9.6,8.1,4.7,31.63,74.87
,,,,,,,,,
Amritsar,Attempt to acid attack,,,,,0,0,31.63,74.87
,,,,,,,,,
Amritsar,Attempt to commit culpable homicide not amounting to murder,,,,,0.3,0.3,31.63,74.87
,,,,,,,,,
Amritsar,Attempt to commit murder,7,6.3,6.8,4.6,6.3,6.2,31.63,74.87
,,,,,,,,,
Amritsar,Attempt to commit rape,,,,,1.4,1.4,31.63,74.87
,,,,,,,,,
Amritsar,Auto theft,10.3,12,12.6,8.4,7.9,10.2,31.63,74.87
,,,,,,,,,
Amritsar,Burglary,8.2,9.9,13.3,8.6,10.7,10.1,31.63,74.87
,,,,,,,,,
Amritsar,Caste conflict riots,,,,,0,0,31.63,74.87
,,,,,,,,,
